age,attr1,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr2,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr3,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr4,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr5,attr50,attr51,attr6,attr7,attr8,attr9,capital,distance,gender,paid_contributions_1,paid_contributions_2,paid_contributions_3,paid_contributions_4,paid_contributions_5,patient_type,residence,satisfied,spouse
0.74,0.222,0.212,0.616,0.384,0.394,0.162,0.889,0.758,0.485,0.626,0.131,0.606,0.626,0.677,0.606,0.697,0.172,0.576,0.949,0.333,0.051,0.222,0.485,0.606,0.808,0.788,0.495,0.758,0.535,0.283,0.828,0.96,0.838,0.909,0.596,0.061,0.455,0.465,0.636,0.182,0.414,0.152,0.182,0.566,0.162,0.586,0.263,0.01,0.909,0.939,0.283,0.237,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.81,0.596,0.707,0.657,0.02,0.717,0.646,1.0,0.98,0.727,0.636,0.212,0.374,0.384,0.354,0.333,0.687,0.061,0.404,0.717,0.222,0.879,0.677,0.778,0.525,0.364,0.04,0.424,0.162,0.687,0.586,0.051,0.818,0.707,0.667,0.162,0.939,0.04,0.788,0.929,0.667,0.545,0.485,0.798,0.98,0.899,0.293,0.939,0.394,0.808,0.434,0.636,0.206,0.89,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.66,0.586,0.384,0.202,0.04,0.737,0.545,0.364,0.414,0.636,0.758,0.929,1.0,0.798,0.707,0.434,0.586,0.556,0.97,0.162,0.657,0.697,0.939,0.737,0.788,0.263,0.424,0.838,0.354,0.606,0.525,0.707,0.121,0.131,0.081,0.192,0.667,0.919,0.879,0.212,0.323,0.545,0.869,0.737,0.96,0.515,0.495,0.03,0.758,0.051,0.374,0.384,0.091,0.62,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.96,0.455,0.051,0.162,0.172,0.323,0.636,0.778,0.929,0.131,0.475,0.111,0.444,0.323,0.212,0.859,0.727,0.687,0.949,0.798,0.747,0.434,0.333,0.404,0.02,0.798,0.98,0.929,0.394,0.889,0.04,0.303,0.636,0.566,0.717,0.566,0.98,0.657,0.242,0.515,0.859,0.485,0.808,0.566,0.657,0.131,0.424,0.172,0.677,0.939,0.444,0.192,0.228,0.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.72,0.758,0.152,0.677,0.586,0.919,0.293,0.121,0.727,0.101,0.212,0.717,0.596,1.0,0.838,0.364,0.707,0.03,0.596,0.02,0.717,0.212,0.545,0.455,0.061,0.222,0.172,0.475,0.717,0.737,0.646,0.535,0.848,0.192,0.525,0.242,0.717,0.141,0.455,0.192,0.788,0.192,0.03,0.525,0.414,0.586,0.818,0.434,0.202,0.949,0.121,0.081,0.295,0.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.68,0.293,0.616,0.192,0.313,0.444,0.394,0.293,0.646,0.071,0.333,0.687,0.596,0.222,0.485,0.768,0.848,0.03,0.121,0.586,0.485,0.929,0.838,0.313,0.798,0.889,0.596,0.949,0.394,0.061,0.051,0.434,0.232,0.586,0.313,0.424,0.515,0.182,0.081,0.293,0.374,0.424,0.081,0.0,0.677,0.253,0.222,0.818,0.303,0.444,0.273,0.626,0.114,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.83,0.455,0.131,0.192,0.485,0.323,0.737,0.465,0.576,0.364,0.354,0.697,0.717,0.404,0.111,0.525,0.404,0.495,0.929,0.485,0.374,0.828,0.323,0.465,0.172,0.202,0.061,0.101,0.667,0.242,0.091,0.384,0.495,0.444,0.263,0.212,0.677,0.747,0.636,0.919,0.374,0.535,0.323,0.01,0.929,0.051,0.919,1.0,0.667,0.414,0.97,0.051,0.048,0.44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.72,0.889,0.677,0.364,0.869,0.141,0.697,1.0,0.202,0.909,0.949,0.354,0.404,0.747,0.424,0.798,0.889,0.606,0.253,0.808,0.263,0.131,0.939,0.727,0.182,0.081,0.051,0.202,0.838,0.111,0.798,0.424,0.051,0.293,0.212,0.566,0.505,0.253,0.929,0.485,0.778,0.869,0.657,0.667,0.313,0.879,0.848,0.646,0.929,0.253,0.596,0.455,0.202,0.61,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.62,0.131,0.667,0.909,1.0,0.071,0.798,0.202,0.707,0.657,0.818,0.919,0.606,0.717,0.283,0.444,0.859,0.808,0.515,0.091,0.111,0.717,0.889,0.0,0.596,0.687,0.97,0.859,0.697,0.111,0.727,0.788,0.606,0.636,0.414,0.626,0.758,0.323,0.616,0.091,0.182,0.525,0.525,0.707,0.081,0.566,0.141,0.444,0.535,0.697,0.465,0.859,0.034,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.84,1.0,0.414,0.424,0.707,0.071,0.97,0.051,0.273,0.364,0.707,0.444,0.98,0.566,0.869,0.253,0.99,0.707,0.869,0.778,0.03,0.455,0.283,0.879,0.788,0.545,0.707,0.515,0.747,0.859,0.071,0.788,0.566,0.111,0.394,0.646,0.697,0.687,0.788,0.333,0.848,0.98,0.424,0.596,1.0,0.222,0.293,0.909,0.535,0.778,0.929,0.576,0.023,0.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.79,0.323,0.97,0.253,0.283,0.232,0.263,0.232,0.586,0.96,0.99,0.071,0.172,0.485,0.717,0.889,0.646,0.101,0.96,0.869,0.808,0.626,0.444,0.343,1.0,0.283,0.061,0.869,0.444,0.424,0.727,0.717,0.98,0.596,0.566,0.101,0.828,0.111,0.101,0.889,0.475,0.202,0.02,0.556,0.626,0.404,0.697,0.242,0.869,0.889,0.081,0.081,0.186,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.86,0.0,0.374,0.495,0.606,0.525,0.232,0.495,0.758,0.0,0.97,0.697,0.192,0.515,0.99,0.313,0.434,0.263,0.354,0.414,0.596,0.596,0.848,0.747,0.061,0.374,0.99,0.99,0.889,0.293,0.283,0.616,0.788,0.99,0.677,0.657,0.283,0.98,0.919,0.222,0.222,0.303,0.141,0.667,0.919,0.778,0.788,0.596,0.465,0.162,0.323,0.737,0.25,0.53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.97,0.071,0.636,0.343,0.232,0.556,0.657,0.838,0.556,0.263,0.939,0.899,0.313,0.818,0.364,0.515,0.707,0.152,0.01,0.566,0.717,0.172,0.889,0.949,0.798,0.879,0.687,0.778,0.535,0.646,0.141,0.97,0.465,0.323,0.707,0.0,0.03,0.909,0.212,0.04,0.596,0.707,0.687,0.283,0.455,0.182,0.929,0.212,0.081,0.354,0.192,0.182,0.208,0.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.85,0.646,0.939,0.273,0.364,0.778,0.424,0.99,0.869,0.636,0.586,0.051,0.556,0.475,0.859,0.788,0.414,0.869,0.182,0.0,0.838,0.646,0.919,0.808,0.0,0.495,0.111,0.152,0.202,0.384,0.354,0.636,0.535,0.606,0.323,0.545,0.535,0.313,0.717,0.657,0.707,0.182,0.596,0.131,0.747,0.828,0.364,0.939,0.222,0.626,1.0,0.879,0.229,0.88,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
