age,attr1,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr2,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr3,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr4,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr5,attr50,attr51,attr6,attr7,attr8,attr9,capital,distance,gender,paid_contributions_1,paid_contributions_2,paid_contributions_3,paid_contributions_4,paid_contributions_5,patient_type,residence,satisfied,spouse
0.747,0.131,0.071,0.172,0.141,0.838,0.586,0.778,0.657,0.909,0.798,0.818,0.98,0.727,0.253,0.04,0.101,0.333,0.141,0.051,0.162,0.141,0.414,0.566,0.364,0.101,0.101,0.747,0.101,0.354,0.141,0.424,0.364,0.091,0.111,0.343,0.152,0.677,0.475,0.313,0.818,1.0,0.545,0.616,0.737,0.343,0.788,0.848,0.03,0.394,0.798,0.505,0.153,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.727,0.253,0.0,0.889,0.333,0.838,0.121,0.919,0.253,0.323,0.162,0.192,0.162,0.566,0.99,0.677,0.616,0.01,0.101,0.98,0.848,0.384,0.141,0.141,0.677,0.98,0.768,0.333,0.919,0.101,0.091,0.354,0.556,0.798,0.475,0.596,0.697,0.818,0.051,0.434,0.444,0.101,0.768,0.354,0.606,0.768,0.283,0.838,0.798,0.515,0.707,0.606,0.206,0.86,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.687,0.899,0.525,0.505,0.758,0.556,0.444,0.97,0.081,0.737,0.293,0.97,0.545,0.616,0.586,0.343,0.323,0.869,1.0,0.98,0.929,0.646,0.525,0.01,0.919,0.364,0.859,0.818,0.99,0.636,0.636,0.859,0.091,0.515,0.606,0.737,0.424,0.687,0.899,0.131,0.0,0.828,0.293,0.485,0.495,0.444,0.313,0.808,0.939,0.485,0.576,0.737,0.194,0.91,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.838,0.04,0.747,0.465,0.909,0.929,0.444,0.717,0.677,0.576,0.97,0.424,0.525,0.475,0.374,0.525,0.707,0.384,0.323,0.778,0.556,0.283,0.606,0.182,0.616,0.071,0.657,0.081,0.182,0.909,0.414,0.232,0.313,0.091,0.606,0.929,0.505,0.333,0.263,0.96,0.212,0.222,0.293,0.737,0.495,0.687,0.909,0.727,0.081,0.01,0.96,0.596,0.154,0.6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.677,0.394,0.414,0.303,0.051,0.717,0.818,0.697,0.818,0.869,0.626,0.879,0.414,0.919,0.343,0.727,0.869,0.909,0.061,0.212,0.051,0.96,0.556,0.525,0.091,0.495,0.101,0.778,0.131,0.778,0.495,0.626,0.081,0.939,0.525,0.818,0.404,0.465,0.192,0.394,0.99,0.808,0.505,0.929,0.475,0.576,0.566,0.758,0.212,0.677,0.606,0.293,0.145,0.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.798,0.131,0.081,0.02,0.879,0.162,0.384,0.253,0.414,0.788,0.222,0.455,0.889,0.01,0.152,0.606,0.232,0.182,0.061,0.061,0.091,0.99,0.778,0.929,0.414,0.778,0.808,0.949,0.485,0.657,0.869,0.242,0.788,0.071,0.303,0.677,0.212,0.071,0.657,0.111,0.404,0.818,0.848,0.02,0.253,0.859,0.303,0.222,0.97,0.141,0.192,0.333,0.279,0.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.636,0.545,0.485,0.788,0.848,0.616,0.808,0.545,0.253,0.465,0.646,0.505,0.606,0.818,0.556,0.788,0.687,0.899,0.404,0.152,0.242,0.99,0.434,0.263,0.182,0.333,0.768,0.394,0.111,0.364,0.939,0.0,0.737,0.505,0.96,0.697,0.404,0.535,0.354,0.414,0.798,0.96,0.667,0.475,0.667,0.071,0.515,0.232,0.505,0.859,0.556,0.919,0.049,0.98,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.96,0.505,0.081,0.596,0.424,0.242,0.152,0.677,0.404,0.414,0.758,0.929,0.323,0.687,0.384,0.323,0.051,0.798,0.97,0.768,0.737,0.828,0.778,0.505,0.343,0.273,0.283,0.384,0.556,0.384,0.525,0.515,0.636,0.323,0.071,0.677,0.101,0.04,0.768,0.768,0.707,0.434,0.01,0.586,0.253,0.717,0.051,0.939,0.152,0.929,0.242,0.758,0.052,0.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.869,0.636,0.919,0.162,0.414,0.162,0.061,0.061,0.525,0.535,0.515,0.0,0.384,0.263,0.556,0.778,0.091,0.657,0.01,0.919,0.576,0.687,0.495,0.131,0.485,0.586,0.283,0.919,0.253,0.343,0.323,0.374,0.283,0.929,0.939,0.758,0.253,0.222,0.384,0.202,0.808,0.374,0.889,0.242,0.909,0.455,0.01,0.071,0.323,0.465,0.737,0.444,0.284,0.21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.788,0.606,0.01,0.03,0.121,0.081,0.141,0.162,0.202,0.141,0.939,0.0,0.99,0.01,0.505,0.646,0.323,0.606,0.152,0.455,0.273,0.061,0.828,0.384,0.192,0.818,0.98,0.98,0.404,0.263,0.424,0.475,0.03,0.455,0.758,0.788,0.152,0.444,0.465,0.616,0.333,0.636,0.04,0.707,0.515,0.596,0.273,0.141,0.586,0.677,0.697,0.798,0.216,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.657,0.101,0.778,0.444,0.909,0.424,0.293,0.202,0.131,0.162,0.283,0.98,0.364,0.303,0.98,0.899,0.646,0.879,0.525,0.182,0.273,0.919,0.444,0.465,0.556,0.051,0.121,0.444,0.071,0.091,0.505,0.626,0.384,0.424,0.869,0.949,0.384,0.768,0.949,0.616,0.101,0.232,0.98,0.374,0.071,0.838,0.556,0.495,0.657,0.091,0.778,0.0,0.17,0.86,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.727,0.242,0.242,0.566,0.717,0.061,0.515,0.97,0.051,0.495,0.737,0.03,0.919,0.596,0.01,0.323,0.616,0.929,0.848,0.747,0.131,0.737,0.212,0.929,0.364,0.909,0.394,0.535,0.465,0.788,0.141,0.465,0.606,0.667,0.485,0.697,0.828,0.131,0.869,0.051,0.414,0.455,0.707,0.667,0.525,0.01,0.232,0.515,0.364,0.717,0.394,0.869,0.188,0.91,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.848,0.737,0.515,0.394,0.394,0.222,0.394,0.838,0.162,0.667,0.384,0.323,0.929,0.414,0.545,0.919,0.162,0.081,0.394,0.475,0.535,0.515,0.525,0.495,0.303,0.899,0.939,0.424,0.04,0.495,0.586,0.081,0.586,0.182,1.0,0.859,0.192,0.626,0.444,0.818,0.747,0.444,0.899,0.99,0.192,0.222,0.606,0.162,0.747,0.99,0.172,0.495,0.167,0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.677,0.172,0.374,0.838,0.313,0.545,0.566,0.939,0.121,0.505,0.697,0.495,0.414,0.0,0.111,0.758,0.949,0.04,0.778,0.455,0.212,0.949,0.818,0.455,0.838,0.677,0.788,0.495,0.374,0.182,0.333,0.687,0.646,0.576,0.919,0.162,0.263,0.778,0.717,1.0,0.192,0.535,0.919,0.848,0.606,0.242,0.081,0.04,0.141,0.434,0.859,0.869,0.267,0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.727,0.899,0.707,0.636,0.859,0.323,0.596,0.293,0.152,0.172,0.04,0.838,0.919,0.02,0.505,0.444,0.596,0.061,0.758,0.061,0.343,0.323,0.747,0.03,0.879,0.01,0.162,0.909,0.929,0.808,0.455,0.394,0.566,0.566,0.212,0.99,0.293,0.505,0.576,0.97,0.434,0.455,0.455,0.879,0.182,0.051,0.414,0.788,0.03,0.081,0.96,0.192,0.239,0.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.707,0.455,0.192,0.566,0.97,0.253,0.222,0.768,0.364,0.96,0.879,0.939,0.394,0.0,0.071,0.667,0.97,0.131,0.667,0.687,0.071,0.242,0.182,0.737,0.394,0.818,0.909,0.162,1.0,0.556,0.828,0.394,0.485,0.919,0.141,0.273,0.717,0.97,0.182,0.222,0.576,0.495,0.697,0.889,0.535,0.141,0.475,0.04,0.899,0.202,0.859,0.333,0.072,0.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.646,0.182,0.071,0.131,0.091,0.576,0.364,0.939,0.364,0.343,0.101,0.444,0.121,0.869,0.727,0.061,0.273,0.404,0.071,0.949,0.566,0.263,0.818,0.323,0.071,0.02,0.202,0.313,0.061,1.0,0.091,0.131,0.687,0.04,0.586,0.323,0.071,0.808,0.162,0.283,0.646,0.313,0.707,0.343,0.667,0.01,0.384,0.091,0.657,0.303,0.576,0.071,0.224,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.768,0.465,0.333,0.667,1.0,0.657,0.556,0.737,0.071,0.222,0.727,0.626,0.606,0.626,0.131,0.081,0.152,0.232,0.586,0.444,0.152,0.414,0.212,0.091,0.919,0.626,0.778,0.869,0.525,0.929,0.343,0.313,0.697,0.01,0.101,0.636,0.475,0.152,0.949,0.768,0.596,0.939,0.313,0.02,0.283,0.727,0.081,0.111,0.677,0.828,0.778,0.899,0.082,0.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.869,0.202,0.626,0.758,0.596,0.111,0.485,0.707,0.0,0.97,0.99,0.808,0.596,0.455,0.758,0.778,0.152,0.606,0.03,0.03,0.091,0.99,0.364,0.747,0.03,0.717,0.253,0.778,0.758,0.293,0.051,0.869,0.162,0.919,0.778,0.525,0.222,0.222,0.051,0.697,0.687,0.333,0.212,0.343,0.98,0.939,0.364,0.899,0.636,0.414,0.657,0.02,0.054,0.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.687,0.222,0.081,0.465,0.343,0.374,0.162,0.818,0.657,0.263,0.747,0.556,0.424,0.101,0.434,0.394,0.838,0.798,0.354,0.525,0.04,0.232,0.02,0.889,0.02,0.566,0.96,0.535,0.758,0.293,0.727,0.424,0.465,0.485,0.798,0.899,0.939,0.99,0.414,0.434,0.485,0.838,0.818,0.384,0.071,0.697,0.394,0.949,0.869,0.0,0.01,0.071,0.09,0.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.949,0.091,0.465,0.313,0.081,0.283,0.596,0.364,0.455,0.131,0.869,0.566,0.354,0.899,0.222,0.919,0.02,0.616,0.232,0.949,0.283,0.364,0.788,0.293,0.434,0.465,0.333,0.212,0.556,0.343,0.737,0.182,0.313,0.263,0.566,0.273,0.0,0.838,0.99,0.222,0.273,0.778,0.212,0.253,0.263,0.626,0.535,0.808,0.859,0.889,0.646,0.828,0.093,0.39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.859,0.545,0.838,0.081,0.646,0.879,0.273,0.677,0.232,0.424,0.202,0.657,0.485,0.293,0.556,0.657,0.586,0.111,0.859,0.505,0.232,0.273,0.859,0.374,0.465,0.909,0.455,0.141,0.828,0.596,0.394,0.091,0.808,0.444,0.949,0.121,0.899,0.606,0.869,0.131,0.242,0.657,0.071,0.263,0.909,0.202,0.879,0.717,0.323,0.636,0.121,0.111,0.194,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.667,0.747,0.677,0.495,0.838,0.172,0.556,0.859,0.293,0.212,0.646,0.505,0.535,0.303,0.434,0.737,0.182,0.859,0.364,0.323,0.818,0.788,0.919,0.879,0.515,0.071,0.828,0.455,0.939,0.495,0.747,0.485,0.121,0.424,0.323,0.475,0.0,0.384,0.253,0.929,0.444,0.192,1.0,0.333,0.212,0.131,0.747,0.051,0.727,0.152,0.283,0.556,0.239,0.54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.737,0.838,0.909,0.495,0.263,0.283,0.333,0.98,1.0,0.333,0.313,0.485,0.505,0.343,0.646,0.465,0.525,0.01,0.727,0.788,0.566,0.182,0.414,0.141,0.97,0.293,0.333,0.566,0.0,0.99,0.566,0.677,0.798,0.566,0.798,0.758,0.636,0.212,0.909,0.99,0.626,0.404,0.273,0.788,0.99,0.061,0.232,0.323,0.182,0.818,0.889,0.323,0.045,0.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.798,0.121,0.232,0.687,0.737,0.384,0.212,0.768,0.828,0.545,0.828,0.404,0.152,0.778,0.404,0.172,0.636,0.98,0.273,0.909,0.313,0.475,0.02,0.576,0.0,0.838,0.283,0.263,0.222,0.475,0.343,0.949,0.364,0.374,0.303,0.566,0.717,0.263,0.212,0.242,0.455,0.283,0.313,0.626,0.96,0.848,0.434,0.465,0.02,0.273,0.869,0.152,0.268,0.09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.859,0.596,0.051,0.889,0.121,0.687,0.404,0.404,0.848,0.96,0.152,1.0,0.717,0.273,0.96,0.475,0.091,1.0,0.626,0.202,0.081,0.657,0.212,0.717,0.697,0.414,0.859,0.646,0.96,0.444,0.081,0.01,0.242,0.253,0.98,1.0,0.717,0.162,0.04,0.071,0.788,0.939,0.747,0.051,0.384,0.707,0.0,0.808,0.374,0.384,0.949,0.475,0.174,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.667,0.747,0.909,0.606,0.707,0.253,0.879,0.798,0.0,0.01,0.04,0.737,0.323,0.202,0.0,0.273,0.808,0.111,0.899,0.242,0.929,0.444,0.374,0.778,0.313,0.636,0.859,0.616,0.384,0.747,0.01,0.384,0.283,0.434,0.768,0.566,0.162,0.717,0.838,0.859,0.869,0.869,0.848,0.101,0.313,0.0,0.374,0.152,0.172,0.273,0.616,0.263,0.011,0.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.949,0.535,0.182,0.818,0.818,0.899,0.525,0.586,0.909,0.848,0.758,0.727,0.535,0.717,0.495,0.404,0.768,0.545,0.091,0.434,0.485,0.343,0.859,0.798,0.394,0.909,0.949,0.99,0.727,0.111,0.778,0.586,0.091,0.485,0.313,0.828,0.424,0.121,0.192,0.616,0.616,0.04,0.586,0.717,0.121,0.475,0.202,0.374,0.354,0.202,0.374,0.475,0.228,0.78,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.939,0.444,0.828,0.162,0.98,0.556,0.838,0.444,0.485,0.838,0.242,1.0,0.707,0.636,0.717,0.909,0.131,0.02,0.253,0.141,0.788,0.03,0.747,0.758,0.455,0.03,0.424,0.737,0.293,0.707,0.051,0.02,0.929,0.717,0.424,0.576,0.949,0.778,0.212,0.071,0.626,0.606,0.626,0.99,0.333,0.212,0.02,0.162,0.737,0.919,0.364,0.586,0.029,0.87,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.859,0.263,0.384,0.0,0.354,0.909,0.667,0.636,0.152,0.263,0.313,0.071,0.707,0.747,0.273,0.263,0.859,0.404,0.141,0.071,0.253,0.596,0.424,0.747,0.131,0.444,0.687,0.02,0.98,0.838,0.121,0.919,0.838,0.101,0.626,0.859,0.293,0.354,0.677,0.929,0.96,0.495,0.859,0.727,0.162,0.707,0.283,0.929,0.303,0.263,0.636,0.566,0.064,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.737,0.687,0.929,0.929,0.939,0.97,0.131,0.515,0.111,0.192,0.848,0.626,0.848,1.0,0.768,0.919,0.667,0.313,0.394,0.707,0.222,0.949,0.01,0.283,0.98,0.313,0.677,0.263,0.677,0.152,0.465,1.0,0.758,0.535,0.788,1.0,0.879,0.091,0.253,1.0,0.576,0.556,0.758,0.04,0.606,0.293,0.778,0.727,0.131,0.788,0.354,0.192,0.137,0.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.899,0.162,0.424,0.343,0.354,0.071,0.596,0.747,0.182,0.808,0.384,0.131,0.586,0.899,0.475,0.404,0.768,0.101,0.202,0.778,0.172,0.293,0.747,0.97,0.495,0.768,0.596,0.384,0.232,0.283,0.343,0.778,0.909,0.424,0.444,0.374,0.99,0.899,0.172,0.222,0.152,0.707,0.384,0.424,0.202,0.98,0.465,0.434,0.505,0.152,0.364,0.444,0.079,0.56,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.616,0.788,0.606,0.475,0.162,0.152,1.0,0.697,0.455,0.566,0.323,0.141,0.505,0.596,0.788,0.687,0.828,0.919,0.03,0.091,0.313,0.848,0.384,0.566,0.424,0.677,0.828,0.444,0.596,0.081,0.515,0.364,0.444,0.283,0.929,0.717,0.374,0.182,0.313,0.96,0.535,0.384,0.747,0.939,0.051,0.475,0.939,0.717,0.778,0.293,0.343,1.0,0.233,0.84,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
