age,attr1,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr2,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr3,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr4,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr5,attr50,attr51,attr6,attr7,attr8,attr9,capital,distance,gender,paid_contributions_1,paid_contributions_2,paid_contributions_3,paid_contributions_4,paid_contributions_5,patient_type,residence,satisfied,spouse
0.68,0.838,0.596,0.657,0.273,0.222,0.899,0.343,0.182,0.788,0.657,0.687,0.364,0.414,0.505,0.303,0.869,0.182,0.192,0.929,0.03,0.051,0.424,0.071,0.051,0.919,0.838,0.434,0.697,0.747,0.859,0.434,0.293,0.515,0.04,0.747,0.131,0.333,0.788,0.101,0.606,0.818,0.505,0.232,0.414,0.0,0.253,0.909,0.717,0.222,0.939,0.172,0.003,0.67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.66,0.616,0.636,0.222,0.131,0.283,0.646,0.545,0.96,0.98,0.535,0.212,0.182,0.525,0.0,0.364,0.869,0.394,0.465,0.687,0.677,0.354,0.313,0.828,0.04,0.96,0.535,1.0,0.313,0.667,0.101,0.051,0.02,0.606,0.081,0.737,0.636,0.717,0.343,0.889,0.485,0.111,0.202,0.737,0.212,0.727,0.04,0.697,0.636,0.152,0.505,0.838,0.147,0.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.71,0.424,0.131,0.303,0.879,0.697,0.323,0.03,0.364,0.525,0.475,0.677,0.707,0.444,0.667,0.788,0.202,0.303,0.899,0.313,0.434,0.04,0.384,0.283,0.99,0.929,0.99,0.909,0.798,0.414,0.657,0.859,0.182,0.04,0.838,0.202,0.939,0.364,0.081,0.869,0.879,0.515,0.869,0.768,0.121,0.091,0.061,0.758,0.061,0.828,0.929,0.636,0.011,0.72,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.67,0.505,0.818,0.626,0.121,0.222,0.192,0.697,0.707,0.354,0.071,0.949,0.273,0.667,0.566,0.444,0.101,0.879,0.657,0.253,0.162,0.889,0.444,1.0,0.768,0.323,0.293,0.909,0.444,0.172,0.162,0.242,0.091,0.939,0.313,1.0,0.232,0.869,0.01,0.879,0.596,0.626,0.253,0.576,0.323,0.545,0.263,0.828,0.404,0.141,0.697,0.909,0.092,0.52,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.75,0.919,0.929,0.859,0.747,0.667,0.424,0.576,0.313,0.434,0.172,0.657,0.465,0.737,0.747,0.626,0.99,0.434,0.051,0.141,0.404,0.172,0.848,0.929,0.667,0.99,0.313,0.071,0.646,0.424,0.0,0.01,0.788,0.374,0.667,0.081,0.091,0.283,0.707,0.414,0.485,0.222,0.778,0.364,0.97,0.758,0.747,0.586,0.495,0.929,0.152,0.0,0.205,0.27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.92,0.899,0.808,0.949,0.859,0.333,0.879,0.101,0.212,1.0,0.96,0.384,0.02,0.283,0.354,0.808,0.323,0.929,0.111,0.455,0.121,1.0,0.182,0.051,0.919,1.0,0.838,0.354,0.879,0.838,0.707,0.384,0.131,0.737,0.374,0.616,0.374,0.333,0.283,0.96,0.121,0.99,0.333,0.535,0.97,0.667,0.212,0.505,0.03,0.465,0.303,0.96,0.215,0.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.95,0.828,0.758,0.273,0.323,0.071,0.606,0.788,0.283,0.455,0.98,0.818,0.556,0.747,0.778,0.717,0.939,0.626,0.465,0.626,0.475,0.212,0.919,0.04,0.101,0.162,0.323,0.01,0.131,0.374,0.02,0.182,0.828,0.697,0.667,0.485,0.263,0.576,0.687,0.717,0.192,0.778,0.677,0.929,0.808,0.838,0.131,0.212,0.838,0.515,0.273,0.576,0.122,0.56,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.73,0.657,0.859,0.798,0.626,0.333,0.081,0.182,0.343,0.404,0.434,0.808,0.475,0.596,0.212,0.374,0.677,0.384,0.162,0.263,0.061,0.707,0.253,0.697,0.798,0.97,0.646,0.768,0.606,0.99,0.505,0.051,0.586,0.495,0.636,0.0,0.737,0.121,0.202,0.01,0.646,0.141,0.606,0.717,0.788,0.374,0.687,0.212,0.374,0.677,0.848,0.778,0.215,0.84,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.87,0.848,0.495,0.96,0.778,0.091,0.404,0.758,0.96,0.323,1.0,0.556,0.899,0.949,0.556,0.929,0.596,0.131,0.414,0.838,0.283,0.909,0.333,0.101,0.838,0.273,0.96,0.798,0.657,0.051,0.121,0.879,0.657,0.01,0.343,0.848,0.596,0.505,0.768,0.687,0.242,0.687,0.576,0.889,0.495,0.313,0.303,0.556,0.667,0.909,0.515,0.303,0.292,0.7,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.89,0.394,0.444,0.364,0.162,0.798,0.606,0.354,0.98,0.869,0.131,0.818,0.727,0.869,0.263,0.03,0.697,0.111,0.717,1.0,0.626,0.848,0.394,0.131,0.717,0.03,0.424,0.394,0.0,0.859,0.283,0.465,0.444,0.737,0.515,0.566,0.384,0.374,0.576,0.788,0.525,0.758,1.0,0.455,0.293,0.949,0.535,0.465,0.747,0.394,0.596,0.293,0.252,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.8,0.828,0.141,0.545,0.677,0.606,0.949,0.101,0.697,0.455,0.071,0.232,0.242,0.162,0.859,0.949,0.061,0.859,0.485,0.333,0.141,0.394,0.04,0.253,0.192,0.455,0.02,0.525,0.121,0.364,0.737,0.667,0.081,0.859,0.677,0.98,0.02,1.0,0.475,0.99,0.172,0.04,0.414,0.848,0.091,0.212,0.232,0.182,0.202,0.737,0.081,0.929,0.12,0.19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.95,0.99,0.384,0.778,0.596,0.434,0.525,0.101,0.758,0.374,0.414,0.768,0.667,0.364,0.313,0.02,0.909,0.323,0.131,0.091,0.424,0.657,0.98,0.626,0.838,0.606,0.798,0.758,0.222,0.919,0.808,0.677,0.657,0.737,0.364,0.879,0.838,0.566,0.838,0.758,0.485,0.323,0.313,0.727,0.283,0.919,0.253,0.121,0.545,0.838,0.636,0.646,0.217,0.74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.82,0.646,0.576,0.97,0.556,0.97,0.404,0.121,0.313,0.525,0.364,0.919,0.697,0.465,0.707,0.485,0.667,0.848,0.677,0.02,0.354,0.869,0.293,0.192,0.081,0.848,0.99,0.96,0.505,0.758,0.444,0.212,0.414,0.202,0.586,0.02,0.141,0.222,0.263,0.556,0.313,0.323,0.121,0.879,0.182,0.061,0.768,0.444,0.121,0.616,0.747,0.525,0.263,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.68,0.273,0.455,0.333,0.061,0.172,0.283,0.727,0.02,0.434,0.646,0.475,0.121,0.717,0.838,0.596,0.485,0.222,0.131,0.727,0.495,0.98,0.99,0.657,0.949,0.707,0.596,0.747,0.02,0.778,0.889,0.758,0.434,0.596,0.657,0.727,0.323,0.424,0.212,0.0,0.354,0.293,0.232,0.283,0.222,0.838,0.778,0.838,0.879,0.263,0.636,0.424,0.225,0.71,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
