age,attr1,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr2,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr3,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr4,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr5,attr50,attr51,attr6,attr7,attr8,attr9,capital,distance,gender,paid_contributions_1,paid_contributions_2,paid_contributions_3,paid_contributions_4,paid_contributions_5,patient_type,residence,satisfied,spouse
0.98,0.384,0.141,0.04,0.717,0.596,0.697,0.02,0.374,0.343,0.525,0.101,0.333,0.818,0.98,0.545,0.343,0.172,0.293,0.859,0.051,0.131,0.657,0.222,0.091,0.242,0.97,0.333,0.586,0.455,0.404,0.737,0.071,0.152,0.566,0.848,0.677,0.242,0.253,0.222,0.859,0.96,0.131,0.131,0.798,0.131,0.869,0.97,0.273,0.364,0.929,0.273,0.069,0.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.7,1.0,0.889,0.354,0.566,0.859,0.818,0.202,0.788,0.707,0.677,0.889,0.434,0.788,0.343,0.798,0.828,0.96,0.232,0.859,0.061,0.798,0.253,0.707,0.505,0.717,0.141,0.434,0.01,0.0,0.293,0.081,0.465,0.889,0.424,0.616,0.404,0.97,0.404,0.394,0.141,0.0,0.556,0.909,0.01,0.222,0.263,0.141,0.808,0.606,0.657,0.859,0.259,0.78,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.67,0.485,0.101,0.687,0.727,0.394,0.222,0.051,0.02,0.444,0.747,0.646,0.202,0.081,0.212,0.182,0.758,0.667,0.626,0.687,0.657,0.374,0.859,0.465,0.646,0.455,0.808,0.455,0.0,0.424,0.778,0.0,0.99,0.424,0.212,0.162,0.232,0.455,0.606,0.828,0.636,0.909,0.727,0.889,0.111,0.475,0.354,0.758,0.818,0.798,0.586,0.545,0.232,0.97,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.9,0.121,0.061,0.808,0.697,0.01,0.949,0.98,0.758,0.848,0.404,0.485,0.293,0.859,0.485,0.323,0.586,0.162,0.505,0.525,0.323,0.828,0.434,0.404,0.182,0.101,0.879,0.111,0.01,0.556,0.061,0.465,0.909,0.192,0.111,0.162,0.606,0.606,0.141,0.707,0.717,0.051,0.051,0.545,0.152,0.909,0.596,0.051,0.081,0.798,0.848,0.848,0.173,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.73,0.081,0.444,0.495,0.263,0.121,0.747,0.152,0.596,0.212,0.848,0.364,0.596,0.909,0.798,0.374,0.879,0.798,0.242,0.768,0.909,0.96,0.232,0.606,0.455,0.04,1.0,0.384,0.869,0.939,0.061,0.768,0.737,0.424,0.283,0.596,0.444,0.515,0.374,0.212,0.626,0.727,0.929,0.071,0.535,0.556,0.586,0.172,0.929,0.838,0.646,0.01,0.131,0.55,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.83,0.768,0.394,0.172,0.98,0.01,0.152,0.444,0.889,0.808,0.97,0.768,0.313,0.818,0.263,0.051,0.354,0.869,0.919,0.949,0.535,0.202,0.192,0.808,0.182,0.899,0.727,0.03,0.949,0.051,0.343,0.98,0.798,0.859,0.333,0.465,0.0,0.909,0.717,0.192,0.061,0.556,0.091,0.374,0.444,0.939,0.859,0.232,0.182,0.091,0.444,0.303,0.15,0.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.75,0.051,0.323,0.99,0.818,0.838,0.121,0.919,0.061,0.636,0.929,0.424,0.859,0.03,0.495,0.333,0.394,0.99,0.071,0.939,0.051,0.838,0.667,0.061,0.758,0.414,0.859,0.293,0.667,0.899,1.0,0.707,1.0,0.232,0.899,0.879,0.747,0.97,0.202,0.02,0.909,0.343,0.485,0.475,0.808,0.667,0.303,0.343,0.313,0.899,0.354,0.263,0.047,0.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.61,0.313,0.02,0.919,0.657,0.081,0.566,0.364,0.899,0.929,0.444,0.414,0.97,0.313,0.606,0.384,0.778,0.535,0.293,0.111,0.97,0.697,0.091,0.121,0.535,0.172,0.091,0.273,0.97,0.434,0.343,0.121,0.323,0.343,0.758,0.636,0.333,1.0,0.626,0.384,0.949,0.051,0.131,0.808,0.586,0.818,0.091,0.303,0.616,0.192,0.97,0.545,0.084,0.21,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.87,0.444,0.364,0.475,0.162,0.818,0.848,0.586,0.131,0.424,0.505,0.737,0.949,0.677,0.0,0.909,0.263,0.667,0.646,0.747,0.424,0.444,0.606,0.364,0.667,0.788,0.394,0.202,0.273,0.667,0.505,0.96,0.101,0.919,0.475,0.919,0.323,0.495,0.192,0.374,0.354,0.737,0.525,0.081,0.98,0.242,0.263,0.545,0.646,0.929,0.566,0.778,0.015,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.78,0.0,0.939,0.232,0.404,0.515,0.404,0.717,0.707,0.99,0.424,0.697,0.747,0.03,0.02,0.152,0.818,0.343,0.707,0.04,0.98,0.141,0.808,0.475,0.919,0.354,0.051,0.778,0.03,0.838,0.96,0.859,0.283,0.141,0.949,0.01,0.01,0.0,0.788,0.081,0.566,0.667,0.869,0.586,0.919,0.434,0.384,0.263,0.778,0.081,0.626,0.636,0.066,0.62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
